Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,83305,56,3345,1,Clusters of cases,0
Republic of Korea,10450,27,208,4,Clusters of cases,0
Australia,6152,100,52,2,Clusters of cases,0
Japan,5347,579,88,3,Clusters of cases,0
Malaysia,4228,109,67,2,Clusters of cases,0
Philippines,4076,206,203,21,Clusters of cases,0
Singapore,1910,287,7,1,Clusters of cases,0
New Zealand,1015,23,1,0,Sporadic Cases,0
Viet Nam,255,4,0,0,Clusters of cases,0
Brunei Darussalam,135,0,1,0,Sporadic Cases,5
Cambodia,118,1,0,0,Sporadic Cases,0
Mongolia,16,0,0,0,Sporadic Cases,1
Fiji,15,0,0,0,Sporadic Cases,2
Lao People's Democratic Republic,15,0,0,0,Sporadic Cases,1
Papua New Guinea,2,0,0,0,Sporadic Cases,1
Territories**,,,,,,
Guam,128,3,4,0,Clusters of cases,0
French Polynesia,51,0,0,0,Sporadic Cases,1
New Caledonia,18,0,0,0,Sporadic Cases,7
Northern Mariana Islands (Commonwealth of the),11,0,2,0,Pending,1
European Region,,,,,,
Spain,152446,5756,15238,683,Pending,0
Italy,143626,4204,18281,612,Pending,0
Germany,113525,5323,2373,266,Pending,0
France,85351,4256,12192,1339,Pending,0
The United Kingdom,65081,4344,7978,881,Pending,0
Turkey,42282,4056,908,96,Community Transmission,0
Belgium,24983,1580,2523,283,Pending,0
Switzerland,23495,785,756,51,Community Transmission,0
Netherlands,21762,1213,2396,148,Pending,0
Portugal,13956,815,409,29,Pending,0
Austria,13248,279,295,22,Pending,0
Russian Federation,11917,1786,94,18,Clusters of cases,0
Israel,9755,351,79,8,Pending,0
Sweden,9141,722,793,106,Pending,0
Ireland,7393,1169,263,28,Pending,0
Norway,6160,150,88,8,Pending,0
Denmark,5635,233,237,19,Pending,0
Poland,5575,370,174,15,Pending,0
Czechia,5569,257,112,13,Pending,0
Romania,5202,441,229,20,Pending,0
Luxembourg,3115,81,52,6,Pending,0
Serbia,2867,201,65,0,Pending,0
Finland,2605,118,42,2,Pending,0
Ukraine,2203,311,69,12,Clusters of cases,0
Greece,1955,71,86,3,Pending,0
Iceland,1648,32,6,0,Pending,0
Croatia,1407,64,20,1,Pending,0
Republic of Moldova,1289,115,29,1,Pending,0
Estonia,1207,22,24,0,Pending,0
Hungary,1190,210,77,11,Pending,0
Slovenia,1124,33,43,3,Pending,0
Belarus,1066,0,13,0,Clusters of cases,1
Lithuania,955,43,15,0,Pending,0
Armenia,937,16,11,1,Clusters of cases,0
Azerbaijan,926,104,9,1,Clusters of cases,0
Bosnia and Herzegovina,875,59,36,1,Community Transmission,0
Kazakhstan,802,75,9,2,Pending,0
Slovakia,701,19,2,0,Pending,0
North Macedonia,663,46,30,0,Clusters of cases,0
Bulgaria,624,31,24,0,Pending,0
Uzbekistan,624,69,3,0,Clusters of cases,0
Andorra,589,23,26,2,Community Transmission,0
Latvia,589,12,2,0,Pending,0
Cyprus,564,38,15,1,Pending,0
Albania,416,7,23,1,Clusters of cases,0
San Marino,344,36,34,0,Community Transmission,0
Malta,337,38,2,1,Pending,0
Kyrgyzstan,298,18,5,1,Pending,0
Montenegro,252,4,2,0,Clusters of cases,0
Georgia,230,16,3,0,Clusters of cases,0
Liechtenstein,79,0,1,0,Pending,1
Monaco,54,0,0,0,Sporadic Cases,1
Holy See,8,0,0,0,Sporadic Cases,1
Territories**,,,,,,
Kosovo[1],227,3,7,1,Community Transmission,0
Faroe Islands,184,0,0,0,Pending,2
Guernsey,181,15,5,1,Pending,0
Jersey,170,0,3,0,Pending,2
Isle of Man,165,15,1,0,Pending,0
Gibraltar,113,0,1,0,Pending,2
Greenland,11,0,0,0,Pending,4
South-East Asia Region,,,,,,
India,6412,678,199,33,Clusters of cases,0
Indonesia,3512,556,306,66,Clusters of cases,0
Thailand,2473,50,33,1,Clusters of cases,0
Bangladesh,330,112,21,1,Clusters of cases,0
Sri Lanka,190,1,7,0,Clusters of cases,0
Myanmar,27,5,3,0,Clusters of cases,0
Maldives,19,0,0,0,Clusters of cases,7
Nepal,9,0,0,0,Sporadic Cases,5
Bhutan,5,0,0,0,Sporadic Cases,7
Timor-Leste,1,0,0,0,Sporadic Cases,20
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),66220,1634,4110,117,Community Transmission,0
Pakistan,4601,279,66,3,Clusters of cases,0
Saudi Arabia,3287,355,44,3,Clusters of cases,0
United Arab Emirates,2990,331,14,2,Pending,0
Qatar,2376,166,6,0,Pending,0
Egypt,1699,139,118,15,Clusters of cases,0
Morocco,1377,102,97,4,Clusters of cases,0
Iraq,1232,30,69,0,Clusters of cases,0
Kuwait,910,55,1,0,Clusters of cases,0
Bahrain,887,64,5,0,Clusters of cases,0
Tunisia,643,15,25,1,Community Transmission,0
Lebanon,582,7,19,0,Clusters of cases,0
Afghanistan,521,77,15,0,Clusters of cases,0
Oman,484,27,3,1,Clusters of cases,0
Jordan,372,14,7,1,Clusters of cases,0
Djibouti,140,5,1,1,Clusters of cases,0
Libya,24,3,1,0,Clusters of cases,0
Syrian Arab Republic,19,0,2,0,Community Transmission,4
Sudan,15,1,2,0,Sporadic Cases,0
Somalia,12,0,1,0,Sporadic Cases,1
Territories**,,,,,,
occupied Palestinian territory,266,3,1,0,Clusters of cases,0
Region of the Americas,,,,,,
United States of America,425889,30859,14665,1925,Community Transmission,0
Canada,19759,1326,461,60,Community Transmission,0
Brazil,15927,2210,800,133,Community Transmission,0
Chile,5972,426,57,9,Community Transmission,0
Ecuador,4965,515,272,30,Community Transmission,0
Peru,4342,1388,121,14,Community Transmission,0
Mexico,3181,396,174,33,Community Transmission,0
Panama,2528,279,63,4,Community Transmission,0
Dominican Republic,2349,393,118,20,Community Transmission,0
Colombia,2054,274,55,5,Community Transmission,0
Argentina,1795,80,67,7,Community Transmission,0
Cuba,515,58,15,3,Clusters of cases,0
Costa Rica,502,19,3,1,Clusters of cases,0
Uruguay,456,32,7,0,Clusters of cases,0
Honduras,343,31,23,1,Clusters of cases,0
Bolivia (Plurinational State of),264,54,18,3,Clusters of cases,0
Venezuela (Bolivarian Republic of),166,0,7,0,Clusters of cases,1
Paraguay,124,5,5,0,Clusters of cases,0
Trinidad and Tobago,109,2,8,0,Clusters of cases,0
El Salvador,103,10,5,0,Clusters of cases,0
Guatemala,95,8,3,0,Clusters of cases,0
Barbados,63,0,3,0,Clusters of cases,1
Jamaica,63,0,4,1,Clusters of cases,1
Bahamas,40,4,7,1,Clusters of cases,0
Guyana,37,4,6,1,Clusters of cases,0
Haiti,30,3,2,1,Clusters of cases,0
Antigua and Barbuda,19,0,2,0,Clusters of cases,1
Dominica,15,0,0,0,Clusters of cases,2
Saint Lucia,14,0,0,0,Sporadic Cases,4
Grenada,12,0,0,0,Clusters of cases,5
Saint Kitts and Nevis,11,0,0,0,Sporadic Cases,1
Suriname,10,0,1,0,Sporadic Cases,6
Belize,9,1,1,0,Sporadic Cases,0
Saint Vincent and the Grenadines,8,0,0,0,Sporadic Cases,1
Nicaragua,6,0,1,0,Pending,3
Territories**,,,,,,
Puerto Rico,683,63,33,9,Clusters of cases,0
Martinique,154,2,6,2,Clusters of cases,0
Guadeloupe,141,2,8,0,Clusters of cases,0
French Guiana,83,6,0,0,Clusters of cases,0
Aruba,82,8,0,0,Clusters of cases,0
United States Virgin Islands,46,1,1,0,Clusters of cases,0
Cayman Islands,45,0,1,0,Clusters of cases,1
Sint Maarten,43,3,8,0,Sporadic Cases,0
Bermuda,39,0,3,1,Clusters of cases,2
Saint Martin,32,1,2,0,Sporadic Cases,0
Curaçao,14,0,1,0,Sporadic Cases,1
Montserrat,8,0,0,0,Sporadic Cases,1
Turks and Caicos Islands,8,0,1,0,Sporadic Cases,2
Saint Barthelemy,6,0,0,0,,10
Falkland Islands (Malvinas),5,0,0,0,Sporadic Cases,1
Anguilla,3,0,0,0,Sporadic Cases,6
British Virgin Islands,3,0,0,0,Sporadic Cases,9
"Bonaire, Sint Eustatius and Saba",2,0,0,0,Sporadic Cases,6
Saint Pierre and Miquelon,1,0,0,0,Sporadic Cases,2
African Region,,,,,,
South Africa,1934,89,18,0,Community Transmission,0
Algeria,1666,94,235,30,Community Transmission,0
Cameroon,730,0,10,0,Clusters of cases,1
Burkina Faso,414,30,19,0,Clusters of cases,0
Niger,410,68,11,0,Clusters of cases,0
Côte d’Ivoire,384,0,3,0,Clusters of cases,1
Mauritius,314,41,7,0,Clusters of cases,0
Ghana,313,0,6,0,Clusters of cases,1
Nigeria,288,12,7,1,Clusters of cases,0
Senegal,250,6,2,0,Clusters of cases,0
Democratic Republic of the Congo,215,8,20,0,Clusters of cases,0
Guinea,194,30,0,0,Clusters of cases,0
Kenya,184,5,7,1,Clusters of cases,0
Rwanda,113,3,0,0,Sporadic Cases,0
Madagascar,95,2,0,0,Clusters of cases,0
Togo,73,3,3,0,Sporadic Cases,0
Congo,60,0,5,0,Clusters of cases,1
Mali,59,3,7,1,Sporadic Cases,0
Ethiopia,56,1,2,0,Sporadic Cases,0
Uganda,53,0,0,0,Sporadic Cases,1
Gabon,44,20,1,0,Sporadic Cases,0
Zambia,39,0,1,0,Sporadic Cases,7
Guinea-Bissau,35,2,0,0,Sporadic Cases,0
Eritrea,33,0,0,0,Sporadic Cases,1
Liberia,31,0,4,0,Sporadic Cases,1
Benin,30,4,1,0,Sporadic Cases,0
United Republic of Tanzania,25,0,1,0,Sporadic Cases,1
Angola,19,0,2,0,Sporadic Cases,1
Equatorial Guinea,18,2,0,0,Sporadic Cases,0
Mozambique,17,0,0,0,Sporadic Cases,1
Namibia,16,0,0,0,Sporadic Cases,4
Botswana,13,7,1,0,Sporadic Cases,0
Eswatini,12,0,0,0,Sporadic Cases,1
Chad,11,1,0,0,Sporadic Cases,0
Seychelles,11,0,0,0,Sporadic Cases,3
Zimbabwe,11,0,3,0,Sporadic Cases,2
Central African Republic,10,0,0,0,Sporadic Cases,1
Malawi,8,0,1,0,Sporadic Cases,2
Cabo Verde,7,0,1,0,Sporadic Cases,3
Sierra Leone,7,0,0,0,Sporadic Cases,1
Mauritania,6,0,1,0,Sporadic Cases,6
Gambia,4,0,1,0,Sporadic Cases,7
São Tomé and Príncipe,4,0,0,0,Pending,3
Burundi,3,0,0,0,Sporadic Cases,6
South Sudan,3,2,0,0,Pending,0
Territories**,,,,,,
Réunion,376,14,0,0,Clusters of cases,0
Mayotte,191,5,2,0,Clusters of cases,0
Subtotal for all Regions,1520540,85054,92787,7277,,
International conveyance (Diamond Princess),712,0,11,0,Pending,25
Grand total,1521252,85054,92798,7277,,
